scenario_id,temptation,runs,final_mean,final_sd,final_q05,final_q25,final_median,final_q75,final_q95,all_cooperate_rate,all_defect_rate,mixed_rate,measurement_mean_cooperator_fraction,measurement_cooperator_fraction_sd,measurement_mean_flip_rate,measurement_flip_rate_sd
frequency-profile,1.1300000000,1,0.9250000000,0.0000000000,0.9250000000,0.9250000000,0.9250000000,0.9250000000,0.9250000000,0.0000000000,0.0000000000,1.0000000000,0.9250000000,0.0000000000,0.1200000000,0.0000000000
frequency-profile,1.1500000000,1,0.9300000000,0.0000000000,0.9300000000,0.9300000000,0.9300000000,0.9300000000,0.9300000000,0.0000000000,0.0000000000,1.0000000000,0.9000000000,0.0000000000,0.0600000000,0.0000000000
frequency-profile,1.1700000000,1,0.9075000000,0.0000000000,0.9075000000,0.9075000000,0.9075000000,0.9075000000,0.9075000000,0.0000000000,0.0000000000,1.0000000000,0.8875000000,0.0000000000,0.0800000000,0.0000000000
frequency-profile,1.2100000000,1,0.9275000000,0.0000000000,0.9275000000,0.9275000000,0.9275000000,0.9275000000,0.9275000000,0.0000000000,0.0000000000,1.0000000000,0.9075000000,0.0000000000,0.0400000000,0.0000000000
frequency-profile,1.2600000000,1,0.9150000000,0.0000000000,0.9150000000,0.9150000000,0.9150000000,0.9150000000,0.9150000000,0.0000000000,0.0000000000,1.0000000000,0.9050000000,0.0000000000,0.0200000000,0.0000000000
frequency-profile,1.3000000000,1,0.8775000000,0.0000000000,0.8775000000,0.8775000000,0.8775000000,0.8775000000,0.8775000000,0.0000000000,0.0000000000,1.0000000000,0.8437500000,0.0000000000,0.1925000000,0.0000000000
frequency-profile,1.3500000000,1,0.8750000000,0.0000000000,0.8750000000,0.8750000000,0.8750000000,0.8750000000,0.8750000000,0.0000000000,0.0000000000,1.0000000000,0.8312000000,0.0000000000,0.2100000000,0.0000000000
frequency-profile,1.4500000000,1,0.8700000000,0.0000000000,0.8700000000,0.8700000000,0.8700000000,0.8700000000,0.8700000000,0.0000000000,0.0000000000,1.0000000000,0.8379500000,0.0000000000,0.1003500000,0.0000000000
frequency-profile,1.5500000000,1,0.8450000000,0.0000000000,0.8450000000,0.8450000000,0.8450000000,0.8450000000,0.8450000000,0.0000000000,0.0000000000,1.0000000000,0.8717500000,0.0000000000,0.1098500000,0.0000000000
frequency-profile,1.6500000000,1,0.7275000000,0.0000000000,0.7275000000,0.7275000000,0.7275000000,0.7275000000,0.7275000000,0.0000000000,0.0000000000,1.0000000000,0.7094000000,0.0000000000,0.1454500000,0.0000000000
frequency-profile,1.7900000000,1,0.7725000000,0.0000000000,0.7725000000,0.7725000000,0.7725000000,0.7725000000,0.7725000000,0.0000000000,0.0000000000,1.0000000000,0.7626000000,0.0000000000,0.0323000000,0.0000000000
frequency-profile,1.8500000000,1,0.3525000000,0.0000000000,0.3525000000,0.3525000000,0.3525000000,0.3525000000,0.3525000000,0.0000000000,0.0000000000,1.0000000000,0.3316000000,0.0000000000,0.2164500000,0.0000000000
