scenario_id,temptation,runs,final_mean,final_q05,final_q25,final_median,final_q75,final_q95,all_cooperate_rate,all_defect_rate,mixed_rate,measurement_mean_cooperator_fraction,measurement_mean_flip_rate
baseline,1.1500000000,50,0.9417760000,0.9315600000,0.9365000000,0.9410000000,0.9478000000,0.9526200000,0.0000000000,0.0000000000,1.0000000000,0.9157785600,0.0735326400
baseline,1.5500000000,50,0.8070880000,0.7745400000,0.7920000000,0.8078000000,0.8219000000,0.8451800000,0.0000000000,0.0000000000,1.0000000000,0.8058435200,0.1595256000
baseline,1.8500000000,50,0.3180720000,0.2679400000,0.2972000000,0.3266000000,0.3376000000,0.3540200000,0.0000000000,0.0000000000,1.0000000000,0.3159104000,0.2433235200
no-self-interaction,1.1500000000,50,0.8611520000,0.8415200000,0.8503000000,0.8604000000,0.8707000000,0.8803000000,0.0000000000,0.0000000000,1.0000000000,0.8582364800,0.1900268800
no-self-interaction,1.5500000000,50,0.7391440000,0.7183800000,0.7293000000,0.7388000000,0.7488000000,0.7603000000,0.0000000000,0.0000000000,1.0000000000,0.7391009600,0.0268764800
no-self-interaction,1.8500000000,50,0.0344960000,0.0161400000,0.0274000000,0.0340000000,0.0415000000,0.0534200000,0.0000000000,0.0000000000,1.0000000000,0.0344960000,0.0000000000
bounded-edges,1.1500000000,50,0.9456320000,0.9348000000,0.9424000000,0.9448000000,0.9505000000,0.9585600000,0.0000000000,0.0000000000,1.0000000000,0.9247347200,0.0580811200
bounded-edges,1.5500000000,50,0.8126800000,0.7823000000,0.7974000000,0.8142000000,0.8287000000,0.8461200000,0.0000000000,0.0000000000,1.0000000000,0.8129952000,0.1562347200
bounded-edges,1.8500000000,50,0.3303840000,0.2735600000,0.3013000000,0.3324000000,0.3580000000,0.3898600000,0.0000000000,0.0000000000,1.0000000000,0.3350355200,0.2290672000
size-20,1.1500000000,50,0.9412500000,0.9122500000,0.9306250000,0.9425000000,0.9512500000,0.9738750000,0.0000000000,0.0000000000,1.0000000000,0.9170630000,0.0646170000
size-20,1.5500000000,50,0.8165000000,0.7137500000,0.7750000000,0.8262500000,0.8543750000,0.9010000000,0.0000000000,0.0000000000,1.0000000000,0.8101580000,0.1563120000
size-20,1.8500000000,50,0.3523500000,0.1953750000,0.2856250000,0.3337500000,0.4162500000,0.5173750000,0.0000000000,0.0200000000,0.9800000000,0.3222300000,0.2371850000
size-100,1.1500000000,50,0.9415260000,0.9352350000,0.9390250000,0.9418500000,0.9436500000,0.9480550000,0.0000000000,0.0000000000,1.0000000000,0.9158743200,0.0704796000
size-100,1.5500000000,50,0.8061440000,0.7866900000,0.7943250000,0.8063500000,0.8154750000,0.8251750000,0.0000000000,0.0000000000,1.0000000000,0.8041777200,0.1600014000
size-100,1.8500000000,50,0.3164100000,0.2907550000,0.3040250000,0.3166000000,0.3272250000,0.3406350000,0.0000000000,0.0000000000,1.0000000000,0.3147609600,0.2435254400
density-30,1.1500000000,50,0.9498320000,0.9384000000,0.9453000000,0.9494000000,0.9553000000,0.9622600000,0.0000000000,0.0000000000,1.0000000000,0.9506660800,0.0210518400
density-30,1.5500000000,50,0.8938080000,0.8693800000,0.8910000000,0.9130000000,0.9273000000,0.9550400000,0.0000000000,0.0200000000,0.9800000000,0.8945579200,0.0757081600
density-30,1.8500000000,50,0.2849280000,0.0000000000,0.0000000000,0.0024000000,0.3643000000,1.0000000000,0.1000000000,0.4200000000,0.4800000000,0.2808243200,0.0674118400
density-50,1.1500000000,50,0.9346480000,0.9198800000,0.9281000000,0.9354000000,0.9410000000,0.9510600000,0.0000000000,0.0000000000,1.0000000000,0.9351504000,0.0429872000
density-50,1.5500000000,50,0.8676160000,0.8323000000,0.8481000000,0.8710000000,0.8803000000,0.9086600000,0.0000000000,0.0000000000,1.0000000000,0.8669366400,0.1143876800
density-50,1.8500000000,50,0.3565360000,0.0000000000,0.0006000000,0.3090000000,0.3764000000,1.0000000000,0.1600000000,0.2600000000,0.5800000000,0.3515595200,0.1188472000
density-70,1.1500000000,50,0.9344320000,0.9198000000,0.9293000000,0.9346000000,0.9403000000,0.9483400000,0.0000000000,0.0000000000,1.0000000000,0.9321012800,0.0506780800
density-70,1.5500000000,50,0.8613840000,0.8144800000,0.8481000000,0.8644000000,0.8803000000,0.9029000000,0.0000000000,0.0000000000,1.0000000000,0.8604539200,0.1181875200
density-70,1.8500000000,50,0.2805280000,0.0000000000,0.2696000000,0.3104000000,0.3405000000,0.3772400000,0.0200000000,0.1000000000,0.8800000000,0.2803684800,0.1871651200
