scenario_id,update_schedule,temptation,runs,final_mean,final_sd,final_q05,final_q25,final_median,final_q75,final_q95,all_cooperate_rate,all_defect_rate,mixed_rate,measurement_mean_cooperator_fraction,measurement_cooperator_fraction_sd,measurement_mean_flip_rate,measurement_flip_rate_sd
synchronous,SYNCHRONOUS,1.0500000000,20,0.9788888889,0.0085155516,0.9686666667,0.9722222222,0.9777777778,0.9866666667,0.9913333333,0.0000000000,0.0000000000,1.0000000000,0.9788888889,0.0085155516,0.0000000000,0.0000000000
synchronous,SYNCHRONOUS,1.1500000000,20,0.9328888889,0.0337833175,0.8740000000,0.9200000000,0.9422222222,0.9555555556,0.9691111111,0.0000000000,0.0000000000,1.0000000000,0.9150239651,0.0302048470,0.0680000000,0.0483457334
synchronous,SYNCHRONOUS,1.2500000000,20,0.9208888889,0.0224595514,0.8922222222,0.9055555556,0.9222222222,0.9344444444,0.9557777778,0.0000000000,0.0000000000,1.0000000000,0.9182745098,0.0193984946,0.0266666667,0.0323721055
synchronous,SYNCHRONOUS,1.3500000000,20,0.8662222222,0.0529007800,0.7713333333,0.8433333333,0.8777777778,0.8944444444,0.9382222222,0.0000000000,0.0000000000,1.0000000000,0.8552636166,0.0332749198,0.1162265795,0.0442690067
synchronous,SYNCHRONOUS,1.4500000000,20,0.8506666667,0.0417523875,0.7795555556,0.8433333333,0.8533333333,0.8722222222,0.8991111111,0.0000000000,0.0000000000,1.0000000000,0.8554727669,0.0345357442,0.0353681917,0.0205156859
synchronous,SYNCHRONOUS,1.5500000000,20,0.7626666667,0.0976011163,0.6246666667,0.6888888889,0.7711111111,0.8366666667,0.8897777778,0.0000000000,0.0000000000,1.0000000000,0.7641002179,0.0726862359,0.1917690632,0.0530433360
synchronous,SYNCHRONOUS,1.6500000000,20,0.6957777778,0.0692666496,0.5675555556,0.6466666667,0.7200000000,0.7455555556,0.7697777778,0.0000000000,0.0000000000,1.0000000000,0.7001525054,0.0400621298,0.1370718954,0.0487186780
synchronous,SYNCHRONOUS,1.7500000000,20,0.6953333333,0.0444555542,0.6344444444,0.6744444444,0.7000000000,0.7144444444,0.7453333333,0.0000000000,0.0000000000,1.0000000000,0.6978039216,0.0435870460,0.0087058824,0.0079171374
synchronous,SYNCHRONOUS,1.8500000000,20,0.2684444444,0.2466204055,0.0000000000,0.0266666667,0.2800000000,0.3588888889,0.7493333333,0.0000000000,0.1500000000,0.8500000000,0.2717690632,0.1955981070,0.1809586057,0.0991416567
synchronous,SYNCHRONOUS,1.9500000000,20,0.2684444444,0.2466204055,0.0000000000,0.0266666667,0.2800000000,0.3588888889,0.7493333333,0.0000000000,0.1500000000,0.8500000000,0.2717690632,0.1955981070,0.1809586057,0.0991416567
random-sequential,RANDOM_SEQUENTIAL,1.0500000000,20,0.9586666667,0.0050158942,0.9511111111,0.9555555556,0.9600000000,0.9611111111,0.9646666667,0.0000000000,0.0000000000,1.0000000000,0.9586666667,0.0050158942,0.0000000000,0.0000000000
random-sequential,RANDOM_SEQUENTIAL,1.1500000000,20,0.8955555556,0.0118469776,0.8795555556,0.8877777778,0.8955555556,0.9033333333,0.9155555556,0.0000000000,0.0000000000,1.0000000000,0.8949106754,0.0119390447,0.0036862745,0.0046185287
random-sequential,RANDOM_SEQUENTIAL,1.2500000000,20,0.8771111111,0.0265602164,0.8304444444,0.8711111111,0.8844444444,0.8900000000,0.9155555556,0.0000000000,0.0000000000,1.0000000000,0.8771111111,0.0265602164,0.0000000000,0.0000000000
random-sequential,RANDOM_SEQUENTIAL,1.3500000000,20,0.7853333333,0.0281497896,0.7420000000,0.7644444444,0.7866666667,0.8055555556,0.8313333333,0.0000000000,0.0000000000,1.0000000000,0.7853769063,0.0281712862,0.0049891068,0.0083971002
random-sequential,RANDOM_SEQUENTIAL,1.4500000000,20,0.7748888889,0.0332052119,0.7313333333,0.7577777778,0.7800000000,0.7955555556,0.8182222222,0.0000000000,0.0000000000,1.0000000000,0.7743877996,0.0344185286,0.0048017429,0.0056722024
random-sequential,RANDOM_SEQUENTIAL,1.5500000000,20,0.6297777778,0.0541477775,0.5286666667,0.5933333333,0.6466666667,0.6722222222,0.6937777778,0.0000000000,0.0000000000,1.0000000000,0.6315424837,0.0358668534,0.1811938998,0.0334625783
random-sequential,RANDOM_SEQUENTIAL,1.6500000000,20,0.6828888889,0.0271410055,0.6511111111,0.6700000000,0.6800000000,0.6977777778,0.7246666667,0.0000000000,0.0000000000,1.0000000000,0.6832897603,0.0267915454,0.0208322440,0.0105191577
random-sequential,RANDOM_SEQUENTIAL,1.7500000000,20,0.4191111111,0.1353462097,0.2400000000,0.3222222222,0.4466666667,0.4911111111,0.6402222222,0.0000000000,0.0000000000,1.0000000000,0.4188366013,0.1357665206,0.0047799564,0.0091285811
random-sequential,RANDOM_SEQUENTIAL,1.8500000000,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
random-sequential,RANDOM_SEQUENTIAL,1.9500000000,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
