temptation,pairs,median_final_delta,mean_final_delta,q25_final_delta,q75_final_delta,async_lower_rate,async_equal_rate,median_measurement_delta,mean_measurement_delta,median_flip_delta
1.0500000000,20,-0.0177777778,-0.0202222222,-0.0266666666,-0.0133333333,1.0000000000,0.0000000000,-0.0177777778,-0.0202222222,0.0000000000
1.1500000000,20,-0.0422222222,-0.0373333333,-0.0533333334,-0.0211111111,0.8500000000,0.0500000000,-0.0203485838,-0.0201132898,-0.0488888889
1.2500000000,20,-0.0466666667,-0.0437777778,-0.0600000000,-0.0211111111,0.9500000000,0.0000000000,-0.0403485839,-0.0411633987,-0.0177777778
1.3500000000,20,-0.0977777778,-0.0808888889,-0.1288888889,-0.0444444444,0.9500000000,0.0000000000,-0.0671023965,-0.0698867102,-0.1145969499
1.4500000000,20,-0.0866666667,-0.0757777778,-0.1044444445,-0.0388888889,0.9000000000,0.0000000000,-0.0804357298,-0.0810849673,-0.0237037037
1.5500000000,20,-0.1444444444,-0.1328888889,-0.2044444444,-0.0266666667,0.8500000000,0.0000000000,-0.1109368192,-0.1325577342,-0.0359041395
1.6500000000,20,-0.0266666667,-0.0128888889,-0.0622222222,0.0211111111,0.6000000000,0.0000000000,-0.0180827887,-0.0168627451,-0.1133333334
1.7500000000,20,-0.2444444444,-0.2762222222,-0.3800000000,-0.1666666667,1.0000000000,0.0000000000,-0.2458823529,-0.2789673203,-0.0046187364
1.8500000000,20,-0.2800000000,-0.2684444445,-0.3588888889,-0.0266666667,0.8500000000,0.1500000000,-0.3178649237,-0.2717690632,-0.2250108932
1.9500000000,20,-0.2800000000,-0.2684444445,-0.3588888889,-0.0266666667,0.8500000000,0.1500000000,-0.3178649237,-0.2717690632,-0.2250108932
